mass_A
t	x	y
3.56	-2.8154199393067785	2.8460926048734407
3.6000000000000036	-2.0283473422334097	2.8440963559239023
3.64	-1.274503233237688	2.8370320189036704
3.68	-0.5407835151638452	2.8530001486059504
3.72	0.32010351718970753	2.8583131694488557
3.760000000000004	1.0701232448286504	2.848748688974318
3.8	1.8249116500689553	2.845619881121536
3.84	2.616544807390035	2.8568309488444683
3.88	3.3959537089191585	2.876787104214003
3.9200000000000035	4.156462037330989	2.892588868280619
3.96	4.935672835224658	2.905617554907785
4.0	5.709606566617545	2.9177745449993893
4.04	6.466053139283126	2.9257140343359183
4.08	7.2500401762496764	2.933479425098426
4.120000000000004	8.027350283444925	2.942558104614129
4.16	8.799572535278294	2.952113962073099
4.2	9.574995452627043	2.963820646287708
4.24	10.339998835574299	2.9775491899139084
4.280000000000004	11.096630990013146	3.0067716702599867
4.32	11.865846005640556	3.025964900131129
4.36	12.62196001162291	3.0608754973324537
4.4	13.37282195577962	3.088503055483855
4.440000000000004	14.11407395543933	3.106593186046858
4.48	14.855262332557906	3.1262782478155344
4.52	15.606201587566424	3.1771809523511862
4.56	16.351645450598447	3.2164931443873854
4.600000000000003	17.059003926008806	3.2516746026225505
4.64	17.756230435715928	3.3065743423761234
4.68	18.46925990802611	3.353000086986654
4.72	19.305780680378767	3.3902505299740113
4.760000000000003	20.001803317079144	3.430006420716765
4.8	20.72052841613175	3.465493709731824
4.84	21.435266224721424	3.5254712627998686
4.88	22.14323879112454	3.574384176857258
4.9200000000000035	22.83945232427353	3.629212046429309
4.96	23.530949269040626	3.6867771523844155
5.0	24.237034786620562	3.751051673849659
5.04	24.920816281062734	3.8010855291801278
5.08	25.602878975183906	3.8559581131100984
5.120000000000004	26.301803552581283	3.9098409882901564
5.16	26.95749985016669	3.9698071704029587
5.2	27.646150597534067	4.0225644694946325
5.24	28.308202535361836	4.091292189850101
5.280000000000004	28.95561168337982	4.1371659624293144
5.32	29.60550984677979	4.210239352682848
5.36	30.247212049375186	4.252812120042307
5.4	30.866601199723753	4.32427333986638
5.440000000000004	31.519017383136976	4.360994874564597
5.48	32.12858750414123	4.429260536177054
5.52	32.747616681931	4.46904005184301
5.56	33.358588688337754	4.533771263014543
5.600000000000003	33.95312132355483	4.579588012253701
5.64	34.557493424989	4.640899639298922
5.68	35.145357550254836	4.687249074327568
5.72	35.71591495745357	4.752327818008112
5.760000000000003	36.300889628192344	4.7970294075775115
5.8	36.86838368804103	4.851359716710526
5.84	37.43017840782418	4.908367818946225
5.88	37.9897155487564	4.963031108304968
5.9200000000000035	38.60418582647856	5.0178014131206155
5.96	39.1792685457138	5.062147445723426
6.0	39.695730466421146	5.105077915828211
6.04	40.24937477097995	5.161239564772444
6.08	40.758563541616205	5.221966802675581
6.120000000000004	41.28214571688557	5.267146258703683
6.16	41.80369402217931	5.3306379585381976
6.2	42.31088422458989	5.3982308649546695
6.24	42.80711864752255	5.452436140260936
6.280000000000004	43.29156733780372	5.5348993679755125
6.32	43.786018036414625	5.570306638238812
6.36	44.26510004456822	5.6478681731043565
6.4	44.70874644644757	5.720714388148174
6.440000000000004	45.17214834592625	5.775299076237886
6.48	45.61337196268938	5.850375192417445
6.52	46.059630049377226	5.904392674165948
6.56	46.472053068591045	5.970575302676721
6.600000000000003	46.88090351511547	6.0395400974973015
6.64	47.28168291856293	6.089142191960839
6.68	47.64457870175752	6.172637028385687
6.72	48.04241968208377	6.221628570735859
6.760000000000003	48.40242695785812	6.276623455069327
6.8	48.7913645023984	6.337950484215497
6.84	49.12381173117394	6.389350730579899
6.88	49.47324438964473	6.424315722594194
6.9200000000000035	49.80236348740673	6.493325170435284
6.96	50.11134901380978	6.528293853269233
7.0	50.404762419314515	6.595270457967146
7.04	50.69942585214576	6.625616898362793
7.080000000000004	50.98218099166264	6.695169191092056
7.120000000000004	51.255540916744216	6.7161738847505035
7.16	51.50751885278323	6.790670677471425
7.2	51.76967341073128	6.814213062004747
7.24	52.03309669441325	6.844839053000662
7.280000000000004	52.239203047667	6.895766714387477
7.32	52.4716451838217	6.92191340033618
7.36	52.65901973163469	6.9704984765418345
7.4	52.85792060570859	7.01548293789488
7.440000000000004	53.05229247223125	7.029733064331452
7.48	53.241727874635295	7.06315354523462
7.52	53.3605850028356	7.102491661479405
7.56	53.52389673434079	7.122823814292232
7.600000000000003	53.66051591974817	7.137969159703232
7.64	53.80360260732197	7.147299443243142
7.68	53.92688790048313	7.159090423769939
7.72	54.02543785345379	7.167942166469899
7.760000000000003	54.10150523801408	7.189591496907539
7.8	54.182132249491865	7.224690244593631
7.84	54.24690184574299	7.230497399051991
7.88	54.31985103855481	7.2315984758007374
7.9200000000000035	54.34765068748194	7.237280244878093
7.96	54.39362700898172	7.23455750682124
8.0	54.42985747629749	7.236491985094055
8.04	54.43376957445181	7.237376196304588
8.080000000000004	54.43468357535317	7.235698761335492
8.120000000000003	54.43119301595808	7.233369353269545
8.16	54.404391118521026	7.229817118485606
8.2	54.35640791666862	7.23201786156114
8.24	54.32150823468064	7.22414193725502
